Name, team, opp, pos, snaps, fantasy_pts 
Tyrod Taylor, BUF, BAL, QB, 49, 5.54
Tyrod Taylor, BUF, NYJ, QB, 51, 24.38
Tyrod Taylor, BUF, ARI, QB, 64, 16.36
Tyrod Taylor, BUF, NWE, QB, 78, 16.64
Tyrod Taylor, BUF, LAR, QB, 54, 15.76
Tyrod Taylor, BUF, SFO, QB, 67, 19.96
Tyrod Taylor, BUF, MIA, QB, 57, 24.34
Tyrod Taylor, BUF, NWE, QB, 69, 18.12
Tyrod Taylor, BUF, SEA, QB, 85, 25.86
Tyrod Taylor, BUF, CIN, QB, 65, 8.54
Tyrod Taylor, BUF, JAX, QB, 55, 20.44
Tyrod Taylor, BUF, OAK, QB, 72, 12.64
Tyrod Taylor, BUF, PIT, QB, 52, 15.32
Tyrod Taylor, BUF, CLE, QB, 59, 15.86
Tyrod Taylor, BUF, MIA, QB, 92, 31.16
